Plazas;Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;basura
96;CHAMO, EL;RESTAURANTE;CTRA. GENERAL LA ESCALONA, 35  ;0;38614;2.811.847;-16.666.897;0;VILAFLOR;
36;CHAMAIDA;RESTAURANTE;LA MANDIOLA, 19 ;0;38686;28.202.372.340.000.000;-16.828.476.410.000.000;0;GUIA DE ISORA;
0;CHAMOS, LOS;BAR;LAS TOSCAS, 40 ;0;38280;28.522.539.269.999.900;-16.348.973.030.000.000;0;TEGUESTE;
35;CHAMO, EL;CAFETERIA;PUERTA CANSECO, 55 ;0;38003;28.466.051;-16.251.902;0;SANTA CRUZ DE TENERIFE;
0;CHAMOS, LOS;BAR;GENERALISIMO, 12 AVDA. ;0;38530;30.160.860.061.645.500;-10.468.328.857.421.800;0;CANDELARIA;
40;CHAMBERI;RESTAURANTE;GENERAL ROSARIO-CHAMBERI KM. 22 CTRA.  ;0;38009;28.095.206;-17.335.007;0;SANTA CRUZ DE TENERIFE;
56;CHAMOS, LOS;RESTAURANTE;TIJARAFE, 85 ;0;38390;2.841.880.113;-1.649.122.953;0;SANTA URSULA;
30;CHAMAKITO;PUB;AVDA. JOSE ANTONIO TAVIO, 1 (URB. GARAÑAÑA, L-2 BAJO);0;38640;280.125.618;-1.665.261.537;0;ARONA;
0;CHAMPAGNE (CHAMPAN);PUB;LA GAVIOTA, S/N. AVDA. (EDIF. PRINCESA, L-2) VARADERO;0;38680;0;0;0;GUIA DE ISORA;
52;CHAMPIÑONERA, LA;RESTAURANTE;REAL, 224 CMNO. ;0;38350;0;0;0;TACORONTE;
0;CHANAJIGA;BAR;LAS LLANADAS, 29 ;0;38415;0;0;0;LOS REALEJOS;
0;CHANCLAS;BAR;LA HOYA, 66 ;0;38400;28.414.180.755.615.200;-1.654.743.003.845.210;0;PUERTO DE LA CRUZ;
0;CHAMOS, LOS ;HAMBURGUESERÍA;ROSA CALEYA, 37 ;0;38108;28.448.231.220.000.000;-1.630.030.096;0;LA LAGUNA;
20;CHANIFEL;CAFETERIA;GENERAL ICOD EL ALTO, 21 CTRA.  ;0;38410;0;0;0;LOS REALEJOS;
0;CHANGOS, LOS;BAR;NAVA Y TOSCANA, 41 ;0;38023;3.369.390.106.201.170;-1.174.035.415.649.410;0;LA LAGUNA;
72;CHANNO'S;RESTAURANTE;LAS CARABELAS, 8 (SAN EUGENIO) ;0;38660;0;0;0;ADEJE;
80;CHAPARRAL, EL;RESTAURANTE;C/. EL MAJANO, 3;0;38550;0;0;0;ARAFO;
0;CHANO;BAR;EL BOQUERON, 17 CTRA. ;0;38230;2.849.342.287;-1.637.594.149;0;LA LAGUNA;
12;CHAPARRAL, EL;BAR;NARCISO DE VERA, 46 ;0;38002;2.847.065.896;-1.628.620.952;0;LA LAGUNA;
0;CHAPARRAL, EL;BAR;JOSE MARTI, 10 AVDA. ;0;38001;2.848.113.961;-1.624.344.257;0;SANTA CRUZ DE TENERIFE;
82;CHAPLIN;RESTAURANTE;LAGUNA PARK, L-13 C.C.  ;0;38601;0;0;0;ADEJE;
